symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,weekly_rank_change,name,sector
CSCO,121.63999938964844,1.4945350046751493,1.7610023255741116,0.45901087108157035,0.5551771126468623,46.58147095687223,54.46265974230792,16.055403183371375,-53.41852904312777,4.0,78.53082039875956,2.740666707356771,1,1,1.0,1.0,1.321562456690666,-0.06430769700270433,0.010131217731721875,2.8432212060461706,52.91308757990096,0.9676173133224728,0.04958861771268408,1.3689358757911274,79.26565874730022,94.57446808510637,78.29373650107992,96.70912951167729,44.291754756871036,50.63424947145877,53.59408033826638,55.81395348837209,84.93657505285412,93.31210191082803,73.14257078638143,63.63636363636363,84.98942917547568,57.683982683982684,51.271186440677965,90.69767441860465,69.65572727102094,US,0.0,-118.0,"Cisco Systems, Inc.",Technology
MGM,47.5099983215332,0.5360948181477082,0.3583130047703228,0.2179609937767648,0.33567609584338487,78.32310359855754,77.67856802974663,73.34174510734287,-21.67689640144246,4.0,81.09520396888053,1.2799997965494792,1,1,1.0,1.0,1.2468181169255208,-0.06273427483385674,0.08793222609564011,935.6285958475166,68.82352875178253,1.9533132004667517,0.1114243999435387,0.8922072846659213,53.131749460043196,82.02127659574468,61.33909287257019,91.93205944798302,70.40169133192389,94.39746300211416,73.67864693446089,29.704016913319236,84.93657505285412,88.00424628450106,72.95468178955143,97.88583509513742,98.73150105708245,79.76190476190477,95.97457627118644,98.5200845665962,94.17478035038145,US,0.0,-3.0,MGM Resorts International,Consumer Cyclical
GS,1038.6800537109375,1.9637445474129136,0.11962567765724916,0.5520630777372995,0.2700661156691726,67.88837387802214,66.10226716515835,55.320201463223334,-32.111626121977864,4.0,83.68321455186282,20.895939127604166,1,1,1.0,1.0,1.0836785906681643,-0.04935881271785403,0.017256570726559062,6.81371801606761,55.104293897111404,1.246549571709331,0.03896883295767517,1.6086964281566565,84.7732181425486,74.46808510638297,82.829373650108,89.59660297239915,62.15644820295984,78.96405919661733,68.39323467230443,37.9492600422833,84.93657505285412,64.43736730360934,72.8504224342067,69.66173361522199,91.12050739957716,61.58008658008658,80.29661016949152,86.78646934460888,77.88908142179721,US,0.0,-55.0,"The Goldman Sachs Group, Inc.",Financial Services
CAT,904.280029296875,4.656280419594807,0.9394636082243126,1.5945199616028334,0.33059414075031235,54.9359255876717,53.23214742326749,40.79334214315987,-45.0640744123283,4.0,84.97864186255724,18.597322591145833,1,1,1.0,1.0,1.0630135158703178,-0.03849093220871369,0.03243635966304148,0.33479889302982013,61.65970796498305,1.0536570908558955,0.015339894773739315,2.9845505597916775,96.8682505399568,89.8936170212766,94.60043196544277,91.82590233545648,50.63424947145877,47.674418604651166,62.89640591966174,49.471458773784356,84.93657505285412,59.447983014862,72.82492926994047,80.6553911205074,72.19873150105708,70.23809523809523,63.347457627118644,66.8076109936575,70.64945729608716,US,0.0,-109.0,Caterpillar Inc.,Industrials
MAR,392.510009765625,1.390600169669039,0.24297021321700887,0.3643233745283836,0.21459168132286544,100.0,78.8884509262909,152.66724205678497,-0.0,4.0,90.34518817934098,4.63953857421875,1,1,1.0,1.0,0.9837479826073057,0.0,0.04502130827295292,0.36934716315090144,86.2720454137815,0.9551598308876984,0.05517997356792459,1.3158263987210663,76.3498920086393,79.7872340425532,72.67818574514038,86.09341825902335,93.18181818181817,95.56025369978859,94.18604651162791,6.923890063424948,84.93657505285412,37.68577494692145,72.73830885117914,88.05496828752642,72.72727272727273,95.77922077922078,49.78813559322034,92.38900634249472,79.74772074594699,US,0.0,-49.0,"Marriott International, Inc.",Consumer Cyclical
MS,211.92999267578125,1.9153129161648146,0.38515054513420477,0.49104331796705747,0.3294372111637147,77.90166937201234,70.10351650302695,73.25576343845793,-22.098330627987668,4.0,86.2821870335551,3.354667154947917,1,1,1.0,1.0,1.0042583118493245,-0.029046646229802686,0.018894195556640625,6.034204931021029,57.47430847933361,1.1482003890172168,0.04474429480426356,1.5839484347713266,84.01727861771057,82.5531914893617,80.34557235421165,91.50743099787687,69.87315010570825,85.7293868921776,73.57293868921776,30.23255813953488,84.93657505285412,43.63057324840764,72.6398655587061,70.71881606765328,90.69767441860465,65.9090909090909,72.98728813559322,89.11205073995771,77.88498405417995,US,0.0,-55.0,Morgan Stanley,Financial Services
BNY,142.38999938964844,2.526134744335772,0.5672348535394801,0.5031141501729479,0.2406075043180831,78.83109702810195,68.36074647268393,89.34920571233776,-21.168902971898056,4.0,84.04897804527423,1.4019978841145833,1,1,1.0,1.0,0.9618097781220925,-0.011317906085663076,0.02122933995091092,0.4496632759761085,64.42499170879195,0.9668367955185845,0.026538351756967282,1.8960711978009794,90.49676025917927,86.48936170212767,80.77753779697623,88.00424628450106,71.24735729386892,82.24101479915433,79.80972515856237,28.858350951374206,84.93657505285412,32.696390658174096,72.55573199567723,72.83298097251586,74.20718816067652,74.13419913419914,51.16525423728814,77.06131078224101,69.88018665738414,US,0.0,-117.0,The Bank of New York Mellon Cor,Financial Services
FRT,122.55999755859375,1.633674778966567,0.46446160306241224,0.2805544906156765,0.15181746884987501,100.0,83.1452706338104,134.38128937615411,-0.0,4.0,92.02531286980059,0.9893325805664063,1,1,1.0,1.0,0.9923757402776505,0.0,0.024492187348036376,0.013975487601885921,81.37051649635275,0.9113242851767277,0.037967112765413535,1.4400346623705171,80.6695464362851,84.7872340425532,66.30669546436285,79.19320594479831,93.18181818181817,97.67441860465115,91.33192389006342,6.923890063424948,84.93657505285412,40.445859872611464,72.54511675534226,75.26427061310783,60.25369978858352,92.31601731601732,41.313559322033896,86.04651162790698,71.03881173352991,US,0.0,-105.0,Federal Realty Investment Trust,Real Estate
STT,161.75,2.3419776104084282,0.8357941940389657,0.5852852586270529,0.3452637960331244,91.57539670296897,66.50592863004783,110.78839654865725,-8.424603297031027,4.0,90.04630361763424,1.8579986572265625,1,1,1.0,1.0,0.8973413143783514,-0.006144393241167445,0.039257264419893856,1.1160860977222755,75.60776268381248,0.815733854773337,0.03761030613074978,1.8019690704340823,88.66090712742981,89.14893617021276,83.90928725701944,92.25053078556263,81.18393234672304,79.49260042283298,84.98942917547568,18.921775898520085,84.93657505285412,20.70063694267516,72.41946111793057,85.20084566596195,79.70401691331924,87.55411255411255,25.635593220338983,85.94080338266384,72.80707434727931,US,0.0,-86.0,State Street Corporation,Financial Services
NTAP,167.0399932861328,0.25087032558310635,1.198252163979743,0.1012051062852799,0.6613457556637323,77.39493091780473,76.7457572498498,50.46009810401278,-22.60506908219527,4.0,91.27890565174636,5.871335347493489,1,1,1.0,1.0,1.4853707141446935,-0.07753483765712033,-0.041597339372763886,2031.2619115946022,37.47841633338042,1.1010579874768829,0.13329181262721312,0.78953884175027,43.196544276457885,92.02127659574468,47.51619870410367,97.5583864118896,69.66173361522199,93.76321353065539,66.59619450317125,30.443974630021142,84.93657505285412,97.87685774946921,72.35709550695888,19.133192389006343,99.2600422832981,34.307359307359306,68.4322033898305,98.83720930232558,63.994001334363965,US,0.0,-175.0,"NetApp, Inc.",Technology
NTRS,170.47000122070312,2.0593557184344706,0.41161098318186085,0.5409183298423987,0.23574349980222653,77.93487808685806,65.29380797716358,118.53373120934798,-22.06512191314194,4.0,84.47612141534981,1.6349629720052083,1,1,1.0,1.0,0.9697402194665401,-0.010391230368126947,0.03512663573063057,0.23041269413844473,74.03852860351249,0.9130211413006601,0.02572339930598777,1.657552610924566,86.17710583153347,83.72340425531914,82.18142548596113,87.68577494692144,69.97885835095138,76.74418604651163,86.89217758985201,30.12684989429176,84.93657505285412,34.182590233545646,72.26289476877416,82.76955602536998,70.71881606765328,85.71428571428571,42.05508474576271,76.32135306553911,71.51581912372217,US,0.0,-98.0,Northern Trust Corporation,Financial Services
CSX,46.9900016784668,1.8703821131312615,0.46570685698982306,0.4162010565469252,0.17982602036061568,99.65829057387405,60.938571902358355,151.1176988920761,-0.3417094261259381,4.0,74.50364233680902,0.4650973002115885,1,1,1.0,1.0,1.0263745826511752,-0.00012622058553035664,0.03822367258265036,0.06591024741743223,90.23260765422899,0.9936918106944679,0.027650329256263317,1.5609893233886063,83.8012958963283,84.8936170212766,76.45788336933045,82.37791932059449,86.25792811839324,67.33615221987314,93.76321353065539,13.847780126849896,84.93657505285412,48.72611464968153,72.23984793058372,84.03805496828753,65.11627906976744,97.61904761904762,55.08474576271186,78.01268498942918,75.97416248184872,US,0.0,-65.0,CSX Corporation,Industrials
KLAC,1929.199951171875,2.643174121397685,1.4107353491533285,1.2381291296935646,0.43666068694608273,48.29968419647649,57.63182962379768,-1.983196541892261,-51.70031580352351,4.0,82.76656139882554,61.44849446614583,1,1,1.0,1.0,1.0447181035648294,-0.09473987012924523,0.0038975653905237717,1.352489215533545,50.910547919591366,1.0860747995734765,0.0031544772143459188,1.9558769415826331,91.14470842332614,93.19148936170212,92.44060475161987,94.37367303609342,45.9830866807611,58.7737843551797,47.780126849894295,54.12262156448203,84.93657505285412,54.24628450106157,71.69929545769745,56.236786469344615,80.97251585623678,54.54545454545454,66.94915254237289,54.43974630021141,62.62873114272405,US,0.0,-187.0,KLA Corporation,Technology
C,132.47000122070312,2.5608845799935405,0.30270800508498047,0.7218811437752424,0.24938175308116084,82.34523077170509,65.82721967642183,111.53842543285444,-17.654769228294914,4.0,90.18829032227076,1.9993331909179688,1,1,1.0,1.0,0.88769657195685,-0.01982976542221626,0.05218427017630933,4.929948252672987,72.5154379009161,1.114487125775984,0.0369819035679404,1.9138279547145411,90.92872570194385,81.06382978723404,86.39308855291577,88.6411889596603,73.67864693446089,78.22410147991543,85.30655391120507,26.42706131078224,84.93657505285412,18.577494692144374,71.4177266383116,91.9661733615222,89.74630021141648,83.76623376623377,69.8093220338983,85.51797040169133,84.16119995495242,US,0.0,-28.0,Citigroup Inc.,Financial Services
FDX,331.0,2.737473664750746,0.15591658007283835,0.7731051885431257,0.14852787726341754,81.53763754697735,71.15703266617265,59.912083903980594,-18.46236245302265,4.0,73.69912730197797,4.667930094401042,1,1,1.0,1.0,0.9713004623339473,-0.02212765650525983,-0.0023776547181775243,0.11730207578936172,48.55363577359504,1.1775351229666942,0.033390472404126514,2.0040628980536486,91.90064794816415,76.06382978723404,87.58099352051836,78.87473460721868,73.04439746300211,87.84355179704016,70.0845665961945,27.061310782241016,84.93657505285412,34.6072186836518,71.1997826238119,49.68287526427061,68.28752642706131,50.649350649350644,75.0,83.08668076109936,65.34128662035639,US,0.0,-163.0,FedEx Corporation,Industrials
DDOG,234.11000061035156,0.8394625387918099,3.6835406075728447,0.5501437020742428,0.8617097464043861,36.82830869380111,60.67489778016264,2.277551010742319,-63.17169130619889,4.0,50.56321475364359,8.50199686686198,1,1,1.0,1.0,1.1035747072779796,-0.15632992594573814,-0.053527411224817745,9.266001602568675,40.99564049267311,1.199578758092592,0.05773621412971641,1.0342015578503307,62.74298056155507,97.5531914893617,82.6133909287257,98.19532908704883,36.89217758985201,66.59619450317125,48.731501057082454,63.213530655391125,84.93657505285412,69.10828025477707,71.05831511798195,14.16490486257928,92.91754756871036,39.61038961038961,77.33050847457628,93.23467230443974,63.45160456413905,US,0.0,-180.0,"Datadog, Inc.",Technology
CVS,95.93000030517578,1.404586635508603,0.5312131724821259,0.4355608036091463,0.2419403555891646,99.07553808409264,50.113768284188524,128.0612571178858,-0.9244619159073516,4.0,68.49743361949378,1.255999755859375,1,1,1.0,1.0,1.0880279145981107,-0.022219960163222807,0.05440752655088743,0.1011197007189538,81.2894731765659,0.9196764811927112,0.05038303680060485,1.3229733181033296,76.67386609071274,85.74468085106382,77.42980561555075,88.32271762208069,85.94080338266384,41.86046511627907,89.11205073995771,14.16490486257928,84.93657505285412,65.71125265392782,70.98971219876697,92.49471458773785,67.33615221987314,92.20779220779221,43.64406779661017,91.43763213530656,77.42407178946398,US,0.0,-57.0,CVS Health Corporation,Healthcare
EA,203.0,1.6990150908544752,0.001567880380129333,0.3622556612644201,0.026221953783862384,85.29434864073421,71.65175158286489,132.82653828938328,-14.705651359265783,4.0,95.09811621357807,0.4018330891927083,1,1,1.0,1.0,1.1121770066630614,-0.006864483941676158,0.006345423218079516,0.41829700423237887,80.76940006162243,0.9923834781207788,0.006055705054923921,1.4734227924979906,81.6414686825054,59.680851063829785,72.35421166306696,57.85562632696391,77.16701902748414,88.37209302325581,90.80338266384777,22.938689217758984,84.93657505285412,70.80679405520169,70.65567107767686,58.985200845665965,73.89006342494714,91.34199134199135,54.66101694915254,57.82241014799154,67.3401365419497,US,0.0,-141.0,Electronic Arts Inc.,Communication Services
BAC,53.83000183105469,0.9999043743269052,1.6849862935294318e-05,0.21533264388665585,0.11245250901927561,98.2669748971402,78.32582395056772,174.25228200687394,-1.7330251028598,4.0,98.43832052087907,0.5133527119954427,1,1,1.0,1.0,1.1043453265423449,-0.04950949876743216,0.04863743832817402,1.5140739716975062,92.24630272235304,1.1777477354094035,0.03935671572017929,1.1161854469374564,67.3866090712743,55.74468085106383,61.01511879049676,75.58386411889597,85.30655391120507,94.82029598308668,95.77167019027483,14.799154334038056,84.93657505285412,69.32059447983015,70.46851167830197,90.69767441860465,81.3953488372093,98.16017316017316,75.10593220338984,86.99788583509513,86.47140289089441,US,0.0,-18.0,Bank of America Corporation,Financial Services
WDC,511.7200012207031,11.532986686959578,7.765608454187191,7.447702452949109,1.0870679088889048,40.527384808653174,55.939446424610374,-11.554375028888485,-59.472615191346826,4.0,75.69069784533568,17.213948567708332,1,1,1.0,1.0,0.9086834645191558,-0.13845344962539152,-0.03643865425379578,6.228469944173372,43.332518094207856,0.904715453958225,0.0037964591636874268,4.0,99.56803455723542,98.72340425531915,99.46004319654428,98.83227176220807,40.38054968287527,54.0169133192389,44.08033826638478,59.72515856236787,84.93657505285412,22.929936305732486,70.26532249607602,22.41014799154334,90.9090909090909,43.18181818181818,40.57203389830508,54.756871035940804,50.36599240333966,US,0.0,-326.0,Western Digital Corporation,Technology
MPC,262.010009765625,1.7717422971672265,1.1688864439651587,0.5552883275111424,0.18858449732706561,74.20642519518167,56.03620609071868,57.17662319082933,-25.793574804818327,4.0,91.13758525992057,4.802396647135416,1,1,1.0,1.0,1.0418829932397675,-0.0194602816351922,0.053221872676672,4.389069512366368,78.00343258659406,0.9411079656323754,0.030299322576263554,1.5105855387111307,82.72138228941685,91.70212765957447,82.93736501079914,83.7579617834395,66.49048625792811,54.43974630021141,69.13319238900634,33.61522198731501,84.93657505285412,52.653927813163484,70.23879865437084,92.17758985200845,88.90063424947145,89.06926406926407,47.35169491525424,79.9154334038055,79.48292329796075,US,0.0,-50.0,Marathon Petroleum Corporation,Energy
STX,847.469970703125,8.012571312030948,10.380697148216496,5.079235036168423,1.4063160964952832,55.04002138320235,57.132667235515456,-1.892943999774093,-44.95997861679765,4.0,82.65007074256489,24.920670572916666,1,1,1.0,1.0,0.864445938230445,-0.09909750448749743,-0.03674700788635554,3.8416720448082318,39.51073669502511,0.7088010822041618,0.01962688998245432,4.0,99.56803455723542,99.04255319148936,98.59611231101512,99.36305732484077,51.26849894291755,57.505285412262154,47.885835095137416,48.837209302325576,84.93657505285412,14.543524416135881,70.15466856062133,22.198731501057082,87.52642706131078,37.44588744588744,12.39406779661017,70.50739957716702,46.014502676406494,US,0.0,-384.0,Seagate Technology Holdings plc,Technology
URI,1067.77001953125,0.8614838550139556,0.21561150661321196,0.3588582110698777,0.32161006017536264,89.26753147392516,74.06119491796234,135.31689741338755,-10.732468526074841,4.0,96.42251049130839,15.558003743489584,1,1,1.0,1.0,0.9307290901073056,-0.015535372445459106,0.07241358869769177,30.520713526458202,82.2451003995674,1.131732511235449,0.0848358215301015,1.0454541911843218,63.282937365010795,78.40425531914894,72.2462203023758,91.29511677282377,79.80972515856237,91.12050739957716,91.5433403805497,20.29598308668076,84.93657505285412,26.11464968152866,69.9049310519112,96.08879492600423,95.66596194503171,92.96536796536796,72.03389830508475,97.35729386892177,90.82226340208209,US,0.0,-4.0,"United Rentals, Inc.",Industrials
TJX,160.7100067138672,1.255460516063288,0.00012876936056720306,0.2236631753107179,0.01196501226680624,100.0,72.72417273858555,110.7667112105847,-0.0,4.0,94.67691743384599,1.9533335367838542,1,1,1.0,1.0,1.275254246425532,-0.022809784027630786,0.03851377521077337,0.0030766950820152656,79.91969225065455,0.8350802704630985,0.032334988793500496,1.2467716267188913,72.89416846652269,56.80851063829787,61.87904967602592,54.45859872611465,93.18181818181817,89.85200845665962,84.88372093023256,6.923890063424948,84.93657505285412,91.0828025477707,69.69011427397211,84.35517970401692,56.87103594080338,90.80086580086581,28.283898305084747,81.71247357293869,68.4046906647419,US,0.0,-132.0,"The TJX Companies, Inc.",Consumer Cyclical
COHR,376.989990234375,4.157293308502534,4.41138363607007,3.0074073612879832,0.5993126942223359,31.886407640807402,48.64542499890976,-15.938052336383437,-68.1135923591926,4.0,70.72069407555273,14.935335286458333,1,1,1.0,1.0,1.0016009864220756,-0.11689199255493798,0.04293575943027106,1.992704704166774,56.24496377850032,1.019915074539588,-0.0005233817718857114,2.729574020566373,96.11231101511879,97.65957446808511,97.0842332613391,97.13375796178345,33.61522198731501,37.63213530655391,43.12896405919662,66.49048625792811,84.93657505285412,42.675159235668794,69.6468418605843,86.89217758985201,83.08668076109936,63.528138528138534,58.79237288135594,49.68287526427061,68.39644900494329,US,0.0,-133.0,Coherent Corp.,Technology
PFG,105.22000122070312,1.6327125567900342,0.2311748885006023,0.3548234723576422,0.15991107183269104,100.0,68.13705013177703,178.36076963852312,-0.0,4.0,75.38143116025351,1.0240397135416666,1,1,1.0,1.0,0.8935328683194423,0.0,0.023540837520470648,0.0014146963958597374,68.16818605674172,0.9563906265425728,0.0329591053091125,1.4395429781664881,80.56155507559394,79.14893617021276,72.03023758099351,80.57324840764332,93.18181818181817,81.71247357293869,96.08879492600423,6.923890063424948,84.93657505285412,19.63906581740977,69.47965948488935,74.63002114164905,55.708245243128964,78.8961038961039,50.105932203389834,82.34672304439746,68.33740510573384,US,0.0,-133.0,"Principal Financial Group, Inc.",Financial Services
SNDK,1559.3199462890625,33.63802147481448,27.002382568497303,33.25255617390535,1.957009644348377,45.39909345361847,57.139223380656716,-17.20792550730868,-54.60090654638153,4.0,76.99719775461212,72.49335123697917,1,1,1.0,1.0,0.8219212608221358,-0.14861045793662986,-0.0800363636992163,7.447877349716923,36.40245598983385,0.7172218071244482,0.012013296037183707,4.0,99.56803455723542,99.68085106382979,100.0,99.68152866242038,43.34038054968288,57.61099365750528,42.706131078224104,56.76532769556025,84.93657505285412,8.598726114649681,69.28885484319619,7.822410147991543,91.5433403805497,33.76623376623377,13.135593220338984,63.8477801268499,42.02307152839278,US,0.0,-426.0,Sandisk Corporation,Technology
GL,159.17999267578125,1.3414196590217466,0.20941755523598476,0.28370944707521706,0.12220380094173722,100.0,56.647391479684615,153.8789162725375,-0.0,4.0,59.0463270843108,2.11400146484375,1,1,1.0,1.0,1.0675812650979029,0.0,0.038762640104983426,-0.0022652729638577957,78.77902979458284,0.8440760774733903,0.035028457624733056,1.2906957367792573,74.94600431965442,78.19148936170212,66.63066954643628,76.43312101910828,93.18181818181817,56.02536997885835,94.29175475687104,6.923890063424948,84.93657505285412,60.72186836518046,69.22825606459082,84.88372093023256,46.93446088794926,90.04329004329004,30.402542372881356,83.93234672304439,67.23927219147951,US,0.0,-144.0,Globe Life Inc.,Financial Services
